FilePath;DatabaseName;Comment
AccountViewModels\AdminChangePassword.cs;;
AccountViewModels\ExternalLoginViewModel.cs;;
AccountViewModels\ForgotPasswordViewModel.cs;;
AccountViewModels\InviteSupplier.cs;;
AccountViewModels\LoginViewModel.cs;;
AccountViewModels\LoginWith2faViewModel.cs;;
AccountViewModels\LoginWithRecoveryCodeViewModel.cs;;
AccountViewModels\RegisterViewModel.cs;;
AccountViewModels\ResetPasswordViewModel.cs;;
AccountViewModels\SaveUser.cs;;
AccountViewModels\SimpleRegisterViewModel.cs;;
BomTemplates\NamedSectionTemplateHierarchyNode.cs;;
Brand\Brand.cs;;
Company.cs;;
CompanyGallery.cs;CompanyGallery;
CompanyUser.cs;CompanyUser;
Component\ComponentAttribute.cs;ComponentAttribute;
Component\ComponentCategory.cs;;
Component\ComponentCertification.cs;ComponentCertification;
Component\ComponentCompliance.cs;ComponentCompliance;
Component\ComponentComponentTag.cs;ComponentComponentTag;
Component\ComponentFile.cs;ComponentFile;
Component\ComponentSeason.cs;;
Component\ComponentTariffCode.cs;ComponentTariffCode;
ComponentCapabilities.cs;ComponentCapabilities;
ComponentPrice.cs;;
CompositionMaterialDetail.cs;;
CompositionMaterialDetailType.cs;CompositionMaterialDetailType;
Continent.cs;Continent;
CountryLanguage.cs;CountryLanguage;
CurrencyExchangeRate.cs;CurrencyExchangeRate;
CustomField\CustomFieldEntityFamily.cs;;
Hierarchy\HierarchyLevelType.cs;;
Hierarchy\HierarchyNodeProductCategory.cs;;
Hierarchy\HierarchyNodeSizeSystem.cs;;
Hierarchy\HierarchyNodeTagCategory.cs;;
Language.cs;Language;
MainContext.cs;;
Order\DatePair.cs;;
Order\OrderTag.cs;OrderTag;
Order\OrderTagCategoryUniqueness.cs;;
OwnedDependentFix.cs;;
Page.cs;Page;
Product\ArticleTariffCode.cs;;
Product\Bundle\Bundle.cs;Bundle;
Product\Bundle\BundleItem.cs;BundleItem;
Product\Bundle\BundleItemSku.cs;BundleItemSku;
Product\ProductArticleWeight.cs;;
Product\ProductTariffCode.cs;;
ProductFile\ProductFile.cs;ProductFile;
ProductFile\ProductFileVersion.cs;ProductFileVersion;
SizeConversionTable\SizeConversionTableColumnSize.cs;SizeConversionTableColumnSize;
SizeSystem\SizeSystemVersionSize.cs;SizeSystemVersionSize;
TagCategory\Tag.cs;Tag;
TagCategory\TagCategoryUniqueness.cs;;
TariffCodeSystem.cs;;
TariffCodeValue.cs;;
Triggers\CreateArticleTrigger.cs;;
Triggers\CreateComponentTrigger.cs;;
Triggers\CreateNotificationTrigger.cs;;
Triggers\CreateProductTrigger.cs;;
Triggers\GlobalData\UpdateMChartTrigger.cs;;
Triggers\Integration\SeasonIntegrationTrigger.cs;;
Triggers\Integration\SizeConversionTableIntegrationTrigger.cs;;
Triggers\Integration\SizeSystemIntegrationTrigger.cs;;
Triggers\Integration\TagIntegrationTrigger.cs;;
Triggers\UpdateComponentCategoryTrigger.cs;;
Triggers\UpdateCustomFields\CustomFieldTrigger.cs;;
Triggers\UpdateCustomFields\SelectCustomFieldOptionTrigger.cs;;
Triggers\UpdateProductFileVersionTrigger.cs;;
Triggers\UpdateProductTrigger.cs;;
